Time,Load
11:49:57.067,6.59799051
11:49:57.092,6.63182020
11:49:57.117,6.58997679
11:49:57.141,6.61175966
11:49:57.165,6.62566042
11:49:57.189,6.63241148
11:49:57.214,6.61038828
11:49:57.238,6.57157660
11:49:57.262,6.59440279
11:49:57.286,6.58957338
11:49:57.310,6.61819220
11:49:57.334,6.59847021
11:49:57.358,6.57926893
11:49:57.382,6.57906675
11:49:57.406,6.60399866
11:49:57.431,6.62980223
11:49:57.456,6.58996058
11:49:57.480,6.56753874
11:49:57.504,6.59259844
11:49:57.528,6.62378454
11:49:57.552,6.61743307
11:49:57.576,6.56021261
11:49:57.601,6.57724810
11:49:57.625,6.59298277
11:49:57.650,6.64390039
11:49:57.674,6.64210272
11:49:57.698,6.58366823
11:49:57.722,6.58754683
11:49:57.748,6.61136293
11:49:57.772,6.62836027
11:49:57.796,6.58764124
11:49:57.820,6.57323503
11:49:57.843,6.60526705
11:49:57.869,6.63790178
11:49:57.893,6.59581614
11:49:57.919,6.58201551
11:49:57.943,6.60519361
11:49:57.969,6.63993692
11:49:57.993,6.61599016
11:49:58.018,6.54811716
11:49:58.043,6.59190416
11:49:58.071,6.62698412
11:49:58.095,6.58783197
11:49:58.123,6.59083796
11:49:58.147,6.60744619
11:49:58.171,6.59729433
11:49:58.195,6.59346056
11:49:58.218,6.55948496
11:49:58.243,6.63875532
11:49:58.267,6.61529779
11:49:58.291,6.64077616
11:49:58.317,6.55850458